SAD,SAD,HAPPY,HAPPY
Theoretical v0,Observed v0,Theoretical v0,Observed v0
4.91 m/s,4.60 m/s,5.39 m/s,5.45 (m/s)
4.93 m/s,4.65 m/s,5.39 m/s,5.42 (m/s)
5.01 m/s,4.72 m/s,5.42 m/s,5.48 (m/s)
5.05 m/s,4.68 m/s,5.40 m/s,5.44 (m/s)
4.95 m/s,4.60 m/s,5.40 m/s,5.51 (m/s)
4.97 m/s,4.65 m/s,5.40 m/s,5.46 (m/s)
