Displacment ,Strech ,Force 
0,0.088,0
0.008,0.08,1.36
0.013,0.075,2
0.018,0.07,2.87
0.023,0.065,3.805
0.028,0.06,5.276
0.033,0.055,6.67
0.038,0.05,7.18
